"Entidade";"Data Pagto";"Tipo Pessoa";"CPF/CNPJ";"Nome Favorecido";"Processo";"Descrição da Despesa";"NF/Documento";"Valor Bruto(em R$)";"Valor Retido(em R$)";"Valor Líquido(em R$)"
"EPTC";"04/01/2017";"CNPJ";"93439313000121";"GRAFICA R.J.R. LTDA.";"CON:2/2012";"IMPRESSOS";"1176";"619,00";"30,95";"588,05"
"EPTC";"04/01/2017";"CNPJ";"1211157000129";"SULSYSTEM ANALISE E DES. SISTEMAS LTDA";"CON:19/2015";"SERVICOS DE INFORMATICA";"64";"3.046,45";"248,27";"2.798,18"
"EPTC";"05/01/2017";"CNPJ";"90341561000147";"ATACADAO COM.DE GEN. ALIM. LTDA.";"O.C:18262";"MATERIAL DE LIMPEZA";"544750";"121,97";"0,00";"121,97"
"EPTC";"05/01/2017";"CNPJ";"90341561000147";"ATACADAO COM.DE GEN. ALIM. LTDA.";"O.C:18262";"MATERIAL DE LIMPEZA";"544751";"106,00";"0,00";"106,00"
"EPTC";"05/01/2017";"CNPJ";"94331832000134";"BRASERV LTDA";"CON:21/2016";"MANUTENCAO E CONSERVACAO";"623";"750,00";"162,38";"587,62"
"EPTC";"05/01/2017";"CNPJ";"5828337000105";"ATENTO SERVICE E LOGISTICA LTDA";"CON:8/2013";"SERVICO DE GUINCHO";"1539";"5.592,40";"279,62";"5.312,78"
"EPTC";"05/01/2017";"CNPJ";"4109859000194";"CARLOS CHAGAS MED. E SEG. DO TRAB. LTDA";"CON:34/2015";"EXAMES";"7664";"604,50";"40,21";"564,29"
"EPTC";"05/01/2017";"CNPJ";"10807173000170";"MEDPOA COMERCIO DE MATERIAL HOSPITALAR";"O.C:105313";"MATERIAL MEDICO E FARMACEUTICOS";"11834";"184,20";"0,00";"184,20"
"EPTC";"06/01/2017";"CNPJ";"612684000182";"TRANS-SUL EMP TRANS CARGA LTDA";"O.C:104821";"MATERIAL DE CONSUMO";"13299";"145,20";"0,00";"145,20"
"EPTC";"06/01/2017";"CNPJ";"612684000182";"TRANS-SUL EMP TRANS CARGA LTDA";"O.C:104821";"MATERIAL DE CONSUMO";"13301";"5,80";"0,00";"5,80"
"EPTC";"06/01/2017";"CNPJ";"92828219000100";"NELSON MALTZ ENGENHARIA E CONSTRUCOES";"CON:26/2006";"ALUGUEIS";"12";"51.302,17";"0,00";"51.302,17"
"EPTC";"09/01/2017";"CNPJ";"93439313000121";"GRAFICA R.J.R. LTDA.";"CON:13/2015";"IMPRESSOS";"1170";"490,61";"24,53";"466,08"
"EPTC";"09/01/2017";"CNPJ";"94987930000124";"CENCI EQUIPAMENTOS DE SEGURANCA LTDA";"O.C:18240";"UNIFORMES";"6503";"1.392,00";"0,00";"1.392,00"
"EPTC";"09/01/2017";"CNPJ";"8471046000109";"DESKART SUL DISTR. DE MAT. DE LIMP. LTDA";"O.C:18275";"MATERIAL DE LIMPEZA";"15754";"2.819,04";"0,00";"2.819,04"
"EPTC";"09/01/2017";"CNPJ";"10861306000196";"BASE MATERIAIS DE CONSTRUCAO";"O.C:18285";"MANUTENCAO E CONSERVACAO";"3659";"680,00";"0,00";"680,00"
"EPTC";"09/01/2017";"CNPJ";"7977027000188";"CART PRINT INDUSTRIA DE EMBALAGENS LTDA.";"O.C:105498";"OUTRAS ENTRADAS";"16371";"250,00";"0,00";"250,00"
"EPTC";"09/01/2017";"CNPJ";"7977027000188";"CART PRINT INDUSTRIA DE EMBALAGENS LTDA.";"O.C:105498";"OUTRAS ENTRADAS";"16372";"250,00";"0,00";"250,00"
"EPTC";"10/01/2017";"CNPJ";"3506307000157";"HAAG SA";"CON:25/2016";"MANUTENCAO DE VEICULOS";"21994956";"54.179,28";"0,00";"54.179,28"
"EPTC";"10/01/2017";"CNPJ";"68833227000151";"PES COMERCIO IMPORTACAO E EXPOTACAO LTDA";"O.C:105438";"OUTRAS DESPESAS";"1459";"1.368,10";"0,00";"1.368,10"
"EPTC";"10/01/2017";"CNPJ";"92533702000159";"LUVEX QUIMICA INDUSTRIA E COM. LTDA";"O.C:105522";"MATERIAL DE CONSUMO";"36671";"36,45";"0,00";"36,45"
"EPTC";"11/01/2017";"CNPJ";"8829940000108";"GABRIELA TORRES RAUBER";"O.C:104660";"MATERIAL DE LIMPEZA";"9417";"100,80";"0,00";"100,80"
"EPTC";"11/01/2017";"CNPJ";"13624934000146";"MZ SEGURANÇA PRIVADA LTDA.";"CON:26/2015";"SERVICO DE VIGILANCIA";"671";"299.415,26";"57.338,02";"242.077,24"
"EPTC";"11/01/2017";"CNPJ";"7755348000138";"VASLER COMÉRCIO E SERVIÇOS DE LIMPEZA LT";"CON:33/2015";"LOCACAO DE VEICULOS";"578";"7.250,00";"1.160,00";"6.090,00"
"EPTC";"11/01/2017";"CNPJ";"7755348000138";"VASLER COMÉRCIO E SERVIÇOS DE LIMPEZA LT";"CON:33/2015";"LOCACAO DE VEICULOS";"579";"7.250,00";"1.160,00";"6.090,00"
"EPTC";"11/01/2017";"CNPJ";"7755348000138";"VASLER COMÉRCIO E SERVIÇOS DE LIMPEZA LT";"CON:33/2015";"LOCACAO DE VEICULOS";"580";"7.250,00";"1.160,00";"6.090,00"
"EPTC";"11/01/2017";"CNPJ";"7755348000138";"VASLER COMÉRCIO E SERVIÇOS DE LIMPEZA LT";"CON:33/2015";"LOCACAO DE VEICULOS";"581";"7.250,00";"1.160,00";"6.090,00"
"EPTC";"12/01/2017";"CNPJ";"8531546000180";"KUNZLER MAQUINAS LTDA";"O.C:105495";"MAQUINAS E EQUIPAMENTOS";"30944";"145,15";"0,00";"145,15"
"EPTC";"12/01/2017";"CNPJ";"94987930000124";"CENCI EQUIPAMENTOS DE SEGURANCA LTDA";"O.C:18240";"UNIFORMES";"6504";"139,98";"0,00";"139,98"
"EPTC";"12/01/2017";"CNPJ";"93439313000121";"GRAFICA R.J.R. LTDA.";"CON:2/2012";"IMPRESSOS";"1209";"4.274,50";"213,73";"4.060,77"
"EPTC";"12/01/2017";"CNPJ";"88664000154";"DZL DISTRIBUIDORA ZANATA LTDA.";"O.C:104607";"MATERIAL DE LIMPEZA";"24950";"2.267,32";"0,00";"2.267,32"
"EPTC";"13/01/2017";"CNPJ";"73317513000102";"VIP ELEVADORES LTDA";"CON:32/2015";"MANUTENCAO DE EQUIPAMENTOS";"28";"2.466,50";"262,70";"2.203,80"
"EPTC";"13/01/2017";"CNPJ";"73317513000102";"VIP ELEVADORES LTDA";"CON:32/2015";"MANUTENCAO DE EQUIPAMENTOS";"29";"2.599,42";"276,83";"2.322,59"
"EPTC";"13/01/2017";"CNPJ";"73317513000102";"VIP ELEVADORES LTDA";"CON:32/2015";"MANUTENCAO DE EQUIPAMENTOS";"30";"1.431,45";"152,43";"1.279,02"
"EPTC";"13/01/2017";"CNPJ";"4463885000116";"LT COMERCIAL LTDA";"CON:13/2016";"LOCACAO DE EQUIPAMENTOS";"1148";"3.766,48";"0,00";"3.766,48"
"EPTC";"13/01/2017";"CNPJ";"4463885000116";"LT COMERCIAL LTDA";"CON:13/2016";"LOCACAO DE EQUIPAMENTOS";"1149";"1.186,04";"0,00";"1.186,04"
"EPTC";"13/01/2017";"CNPJ";"4463885000116";"LT COMERCIAL LTDA";"CON:13/2016";"LOCACAO DE EQUIPAMENTOS";"1150";"1.433,80";"0,00";"1.433,80"
"EPTC";"13/01/2017";"CNPJ";"4463885000116";"LT COMERCIAL LTDA";"CON:13/2016";"LOCACAO DE EQUIPAMENTOS";"1780";"549,90";"0,00";"549,90"
"EPTC";"13/01/2017";"CNPJ";"4463885000116";"LT COMERCIAL LTDA";"CON:13/2016";"LOCACAO DE EQUIPAMENTOS";"1781";"287,71";"0,00";"287,71"
"EPTC";"13/01/2017";"CNPJ";"4463885000116";"LT COMERCIAL LTDA";"CON:13/2016";"LOCACAO DE EQUIPAMENTOS";"1782";"371,00";"0,00";"371,00"
"EPTC";"16/01/2017";"CNPJ";"40432544000147";"CLARO S.A";"CON:10/2014";"TELEFONE";"101";"1.272,84";"0,00";"1.272,84"
"EPTC";"16/01/2017";"CNPJ";"40432544000147";"CLARO S.A";"CON:10/2014";"TELEFONE";"102";"10.797,50";"0,00";"10.797,50"
"EPTC";"16/01/2017";"CNPJ";"87096616000196";"UNIMED PORTO ALEGRE SOCIEDADE COOPERATIV";"CON:23/2013";"PLANO DE SAUDE";"708853";"652.315,01";"3.424,73";"648.890,28"
"EPTC";"16/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"908325";"716.636,44";"0,00";"716.636,44"
"EPTC";"16/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"908327";"40.250,24";"0,00";"40.250,24"
"EPTC";"16/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"908338";"5.707,08";"0,00";"5.707,08"
"EPTC";"16/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"908340";"29.704,32";"0,00";"29.704,32"
"EPTC";"16/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"908344";"4.168,57";"0,00";"4.168,57"
"EPTC";"16/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"911306";"42.865,82";"0,00";"42.865,82"
"EPTC";"16/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"911308";"662,78";"0,00";"662,78"
"EPTC";"16/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"912633";"1.037,22";"0,00";"1.037,22"
"EPTC";"17/01/2017";"CNPJ";"13672891000174";"PRETA TRANSPORTES LTDA - ME";"CON:21/2012";"LOCACAO DE VEICULOS";"1";"5.643,56";"243,24";"5.400,32"
"EPTC";"17/01/2017";"CNPJ";"4567417000191";"LMV TRANSPORTES LTDA.";"CON:22/2012";"LOCACAO DE VEICULOS";"1866";"14.728,72";"627,44";"14.101,28"
"EPTC";"17/01/2017";"CNPJ";"2217890000113";"SILVEIRA E FRAGA LTDA.";"CON:21/2013";"LOCACAO DE VEICULOS";"1";"7.391,58";"283,84";"7.107,74"
"EPTC";"19/01/2017";"CNPJ";"9338999000158";"SHOW PRESTADORA DE SERV. DO BRASIL LTDA";"CON:14/2014";"MONITORAMENTO GPS";"690";"159.882,92";"3.197,65";"156.685,27"
"EPTC";"20/01/2017";"CNPJ";"90180605000102";"GENTE SEGURADORA S.A";"CON:24/2013";"SEGURO DE VIDA";"80529";"6.705,09";"0,00";"6.705,09"
"EPTC";"23/01/2017";"CNPJ";"612684000182";"TRANS-SUL EMP TRANS CARGA LTDA";"O.C:104821";"MATERIAL DE CONSUMO";"13363";"77,22";"0,00";"77,22"
"EPTC";"23/01/2017";"CNPJ";"10807173000170";"MEDPOA COMERCIO DE MATERIAL HOSPITALAR";"O.C:105313";"MATERIAL MEDICO E FARMACEUTICOS";"11968";"184,20";"0,00";"184,20"
"EPTC";"23/01/2017";"CNPJ";"97462618000105";"KUNZLER LOCAÇÕES E COMÉRCIO DE EQUIPAMEN";"O.C:105486";"OUTRAS ENTRADAS";"670";"490,00";"24,50";"465,50"
"EPTC";"23/01/2017";"CNPJ";"90341561000147";"ATACADAO COM.DE GEN. ALIM. LTDA.";"O.C:18262";"MATERIAL DE LIMPEZA";"546570";"699,90";"0,00";"699,90"
"EPTC";"23/01/2017";"CNPJ";"73675332000140";"RUA SISTEMA AUTOMATIZADOS LTDA";"CON:14/2012";"MATERIAL DE EXPEDIENTE";"29";"2.954,20";"240,76";"2.713,44"
"EPTC";"23/01/2017";"CNPJ";"93439313000121";"GRAFICA R.J.R. LTDA.";"CON:13/2015";"IMPRESSOS";"1225";"1.280,00";"64,00";"1.216,00"
"EPTC";"23/01/2017";"CNPJ";"88664000154";"DZL DISTRIBUIDORA ZANATA LTDA.";"O.C:104607";"MATERIAL DE LIMPEZA";"24966";"1.703,72";"0,00";"1.703,72"
"EPTC";"23/01/2017";"CNPJ";"662270000320";"INMETRO";"O.C:105560";"MANUTENCAO DE EQUIPAMENTOS";"12656";"2.390,25";"0,00";"2.390,25"
"EPTC";"23/01/2017";"CNPJ";"92757798000139";"EMPRESA JORNALISTICA CALDAS JUNIOR";"CON:16/2016";"PROPAGANDA E PUBLICIDADE";"57199";"960,00";"0,00";"960,00"
"EPTC";"23/01/2017";"CNPJ";"2726274000198";"ALCEO CARLESSO ME";"CON:3/2014";"MANUTENCAO E CONSERVACAO";"11";"983,79";"27,45";"956,34"
"EPTC";"23/01/2017";"CNPJ";"116506001302";"PROFORTE S/A - TRANSPORTE DE VALORES";"CON:17/2016";"TRANSPORTE DE VALORES";"6573";"231,21";"22,31";"208,90"
"EPTC";"23/01/2017";"CNPJ";"94987930000124";"CENCI EQUIPAMENTOS DE SEGURANCA LTDA";"O.C:18240";"UNIFORMES";"6520";"980,00";"0,00";"980,00"
"EPTC";"23/01/2017";"CNPJ";"94987930000124";"CENCI EQUIPAMENTOS DE SEGURANCA LTDA";"O.C:18240";"UNIFORMES";"6526";"1.170,00";"0,00";"1.170,00"
"EPTC";"23/01/2017";"CNPJ";"1844768000104";"AMBIENTUUS TECNOLOGIA AMBIENTAL LTDA";"CON:7/2016";"OUTROS SERVICOS PRESTADOS PJ";"36141";"222,86";"10,23";"212,63"
"EPTC";"23/01/2017";"CNPJ";"13014203000189";"MARTA REGINA DA SILVA ALMADA EPP";"O.C:104695";"OUTRAS DESPESAS";"13675150";"20,00";"0,00";"20,00"
"EPTC";"23/01/2017";"CNPJ";"13014203000189";"MARTA REGINA DA SILVA ALMADA EPP";"O.C:104695";"OUTRAS DESPESAS";"13675296";"189,50";"0,00";"189,50"
"EPTC";"23/01/2017";"CNPJ";"8471046000109";"DESKART SUL DISTR. DE MAT. DE LIMP. LTDA";"O.C:18275";"MATERIAL DE LIMPEZA";"15882";"2.505,74";"0,00";"2.505,74"
"EPTC";"24/01/2017";"CNPJ";"93439313000121";"GRAFICA R.J.R. LTDA.";"CON:2/2012";"IMPRESSOS";"1240";"4.375,00";"218,75";"4.156,25"
"EPTC";"24/01/2017";"CNPJ";"93439313000121";"GRAFICA R.J.R. LTDA.";"CON:2/2012";"IMPRESSOS";"1247";"600,00";"30,00";"570,00"
"EPTC";"24/01/2017";"CNPJ";"1211157000129";"SULSYSTEM ANALISE E DES. SISTEMAS LTDA";"CON:8/2016";"SERVICOS DE INFORMATICA";"4";"4.900,00";"399,35";"4.500,65"
"EPTC";"24/01/2017";"CNPJ";"24793806000142";"SULCABOS COMÉRCIO E REPRESENTAÇÕES LTDA";"O.C:105424";"OUTRAS ENTRADAS";"306";"1.150,00";"0,00";"1.150,00"
"EPTC";"24/01/2017";"CNPJ";"8829598000138";"ID SISTEMAS INTELIGENTES LTDA.";"CON:3/2016";"OUTROS SERVICOS PRESTADOS PJ";"4013";"75,46";"0,00";"75,46"
"EPTC";"24/01/2017";"CNPJ";"8829598000138";"ID SISTEMAS INTELIGENTES LTDA.";"CON:3/2016";"OUTROS SERVICOS PRESTADOS PJ";"4083";"121,94";"0,00";"121,94"
"EPTC";"24/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"169510";"1.289,25";"0,00";"1.289,25"
"EPTC";"24/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"391142";"687,60";"0,00";"687,60"
"EPTC";"24/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"391143";"644,62";"0,00";"644,62"
"EPTC";"24/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"607312";"714.986,11";"0,00";"714.986,11"
"EPTC";"24/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"607314";"38.176,56";"0,00";"38.176,56"
"EPTC";"24/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"608524";"275,04";"0,00";"275,04"
"EPTC";"24/01/2017";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:12/2016";"VALE ALIMENTACAO";"718915";"202,38";"0,00";"202,38"
"EPTC";"25/01/2017";"CNPJ";"7044304000108";"EXPERTISE SOLUCOES FINANCEIRAS LTDA";"CON:23/2016";"COMBUSTIVEL E LUBRIFICANTES";"20218";"70.039,59";"0,00";"70.039,59"
"EPTC";"25/01/2017";"CNPJ";"92739606000161";"LBF-ENGENHARIA E SERVICOS LTDA.";"CON:15/2016";"MANUTENCAO E CONSERVACAO PREDIAL";"127";"101.486,70";"13.345,50";"88.141,20"
"EPTC";"26/01/2017";"CNPJ";"94331832000134";"BRASERV LTDA";"CON:21/2016";"MANUTENCAO E CONSERVACAO";"12";"3.463,20";"663,20";"2.800,00"
"EPTC";"26/01/2017";"CNPJ";"94331832000134";"BRASERV LTDA";"CON:21/2016";"MANUTENCAO E CONSERVACAO";"56";"35,52";"0,00";"35,52"
"EPTC";"26/01/2017";"CNPJ";"93439313000121";"GRAFICA R.J.R. LTDA.";"CON:13/2015";"IMPRESSOS";"1257";"2.811,65";"140,58";"2.671,07"
"EPTC";"26/01/2017";"CNPJ";"93439313000121";"GRAFICA R.J.R. LTDA.";"CON:13/2015";"IMPRESSOS";"1251";"640,00";"32,00";"608,00"
"EPTC";"26/01/2017";"CNPJ";"23334784000190";"DIEGO RUPERTI ROCHA - ME";"O.C:105145";"OUTRAS ENTRADAS";"920";"55,50";"0,00";"55,50"
"EPTC";"26/01/2017";"CNPJ";"87124582000104";"COMPANHIA PROC.DADOS RGS-PROCERGS";"CON:37/2015";"SERVICOS DE INFORMATICA";"8488";"434,89";"0,00";"434,89"
"EPTC";"26/01/2017";"CNPJ";"87124582000104";"COMPANHIA PROC.DADOS RGS-PROCERGS";"CON:23/2014";"SERVICOS DE INFORMATICA";"8491";"52,05";"0,00";"52,05"
"EPTC";"26/01/2017";"CNPJ";"87124582000104";"COMPANHIA PROC.DADOS RGS-PROCERGS";"CON:12/2015";"SERVICOS DE INFORMATICA";"8497";"16.264,00";"0,00";"16.264,00"
"EPTC";"26/01/2017";"CNPJ";"87124582000104";"COMPANHIA PROC.DADOS RGS-PROCERGS";"CON:12/2015";"SERVICOS DE INFORMATICA";"71916";"333,86";"0,00";"333,86"
"EPTC";"27/01/2017";"CNPJ";"93653566000101";"LAWEG ENGENHARIA LTDA";"CON:28/2012";"OBRAS E SINALIZACAO";"38";"26.856,04";"6.037,48";"20.818,56"
"EPTC";"27/01/2017";"CNPJ";"7278378000109";"SIMONE CAMPOS & CAMPOS SEGURANÇA E SINAL";"O.C:105520";"MATERIAL DE SINALIZACAO VIARIA";"37363";"1.258,75";"0,00";"1.258,75"
"EPTC";"27/01/2017";"CNPJ";"73317513000102";"VIP ELEVADORES LTDA";"CON:32/2015";"MANUTENCAO DE EQUIPAMENTOS";"27";"16.165,59";"1.721,65";"14.443,94"
"EPTC";"27/01/2017";"CNPJ";"73255390000114";"TOXILAB ANALISES CLINICAS LTDA";"CON:35/2015";"EXAMES";"209";"1.854,55";"151,15";"1.703,40"
"EPTC";"30/01/2017";"CNPJ";"4109859000194";"CARLOS CHAGAS MED. E SEG. DO TRAB. LTDA";"CON:34/2015";"EXAMES";"72";"77,50";"1,55";"75,95"
"EPTC";"30/01/2017";"CNPJ";"15321819000128";"AGENOR & SILVIO TRANSPORTES LTDA";"CON:11/2015";"LOCACAO DE VEICULOS";"1";"7.108,56";"198,33";"6.910,23"
"EPTC";"30/01/2017";"CNPJ";"15616221000166";"DENIZIO PIRES CORREA";"CON:19/2012";"RECOLHIMENTO DE ANIMAIS";"74";"22.604,17";"452,08";"22.152,09"
"EPTC";"31/01/2017";"CNPJ";"7044304000108";"EXPERTISE SOLUCOES FINANCEIRAS LTDA";"CON:23/2016";"COMBUSTIVEL E LUBRIFICANTES";"119";"85.730,52";"0,00";"85.730,52"
"EPTC";"01/02/2017";"CNPJ";"92973791000154";"ADALBERTO O. DE SOUZA";"CON:32/2008";"ALUGUEIS";"1";"9.407,11";"1.715,67";"7.691,44"
"EPTC";"01/02/2017";"CNPJ";"92973791000154";"ADALBERTO O. DE SOUZA";"CON:1/2008";"ALUGUEIS";"1";"9.407,11";"1.715,67";"7.691,44"
"EPTC";"01/02/2017";"CNPJ";"13014203000189";"MARTA REGINA DA SILVA ALMADA EPP";"O.C:104695";"OUTRAS DESPESAS";"13749954";"14,00";"0,00";"14,00"
"EPTC";"01/02/2017";"CNPJ";"13014203000189";"MARTA REGINA DA SILVA ALMADA EPP";"O.C:104695";"OUTRAS DESPESAS";"13750010";"18,00";"0,00";"18,00"
"EPTC";"01/02/2017";"CNPJ";"92757798000139";"EMPRESA JORNALISTICA CALDAS JUNIOR";"CON:16/2016";"PROPAGANDA E PUBLICIDADE";"57378";"960,00";"0,00";"960,00"
"EPTC";"01/02/2017";"CNPJ";"92757798000139";"EMPRESA JORNALISTICA CALDAS JUNIOR";"CON:16/2016";"PROPAGANDA E PUBLICIDADE";"57379";"1.440,00";"0,00";"1.440,00"
"EPTC";"03/02/2017";"CNPJ";"7161152000115";"G.P.A TREINAMENTO F. PERSONALIZADO LTDA.";"CON:16/2012";"OUTROS SERVICOS PRESTADOS PJ";"16";"3.546,70";"152,86";"3.393,84"
"EPTC";"03/02/2017";"CNPJ";"8829940000108";"GABRIELA TORRES RAUBER";"O.C:104660";"MATERIAL DE LIMPEZA";"9390";"7.560,00";"0,00";"7.560,00"
"EPTC";"03/02/2017";"CNPJ";"89846356000154";"RADIO TAXI GAUCHA";"CON:20/2013";"CORREIOS, CONDUCAO, MALOTE";"73990";"4.430,88";"0,00";"4.430,88"
"EPTC";"03/02/2017";"CNPJ";"8471046000109";"DESKART SUL DISTR. DE MAT. DE LIMP. LTDA";"O.C:18275";"MATERIAL DE LIMPEZA";"15936";"1.380,00";"0,00";"1.380,00"
"EPTC";"06/02/2017";"CNPJ";"1844768000104";"AMBIENTUUS TECNOLOGIA AMBIENTAL LTDA";"CON:7/2016";"OUTROS SERVICOS PRESTADOS PJ";"2544";"220,00";"10,23";"209,77"
"EPTC";"06/02/2017";"CNPJ";"94331832000134";"BRASERV LTDA";"CON:21/2016";"MANUTENCAO E CONSERVACAO";"13";"1.000,00";"216,50";"783,50"
"EPTC";"06/02/2017";"CNPJ";"3230856000141";"M.F. MACHADO SOARES";"O.C:105089";"MATERIAL DE EXPEDIENTE";"14015";"305,50";"0,00";"305,50"
"EPTC";"06/02/2017";"CNPJ";"92691336000166";"CREDITO REAL (CONSTRUTORA SCORZA LTDA)";"CON:29/2006";"ALUGUEIS";"1";"8.505,70";"0,00";"8.505,70"
"EPTC";"06/02/2017";"CNPJ";"92757798000139";"EMPRESA JORNALISTICA CALDAS JUNIOR";"CON:16/2016";"PROPAGANDA E PUBLICIDADE";"57473";"1.120,00";"0,00";"1.120,00"
"EPTC";"06/02/2017";"CNPJ";"92757798000139";"EMPRESA JORNALISTICA CALDAS JUNIOR";"CON:16/2016";"PROPAGANDA E PUBLICIDADE";"57474";"1.440,00";"0,00";"1.440,00"
"EPTC";"06/02/2017";"CNPJ";"1211157000129";"SULSYSTEM ANALISE E DES. SISTEMAS LTDA";"CON:19/2015";"SERVICOS DE INFORMATICA";"5";"3.886,85";"316,76";"3.570,09"
