"Entidade";"Data Pagto";"Tipo Pessoa";"CPF/CNPJ";"Nome Favorecido";"Processo";"Descrição da Despesa";"NF/Documento";"Valor Bruto(em R$)";"Valor Retido(em R$)";"Valor Líquido(em R$)"
"EPTC";"02/01/2014";"CNPJ";"94987930000124";"CENCI EQUIPAMENTOS DE SEGURANCA LTDA";"O.C:00017218";"UNIFORMES";"000002786";"18.729,40";"0,00";"18.729,40"
"EPTC";"02/01/2014";"CNPJ";"11388781000150";"METALETO DIST. PROD. SIDERG. LTDA";"O.C:00017257";"MATERIAL DE SINALIZACAO VIARIA";"000001194";"20.037,24";"0,00";"20.037,24"
"EPTC";"02/01/2014";"CNPJ";"11388781000150";"METALETO DIST. PROD. SIDERG. LTDA";"O.C:00017257";"MATERIAL DE SINALIZACAO VIARIA";"000001196";"4.843,00";"0,00";"4.843,00"
"EPTC";"02/01/2014";"CNPJ";"11388781000150";"METALETO DIST. PROD. SIDERG. LTDA";"O.C:00017257";"MATERIAL DE SINALIZACAO VIARIA";"000001198";"51.780,84";"0,00";"51.780,84"
"EPTC";"02/01/2014";"CNPJ";"10407440000111";"MAXXILUB COM DE COMB LUB E FILTR";"O.C:00017241";"COMBUSTIVEL E LUBRIFICANTES";"000023357";"750,00";"0,00";"750,00"
"EPTC";"02/01/2014";"CNPJ";"87124582000104";"COMPANHIA PROC.DADOS RGS-PROCERGS";"CON:000008/2012";"SERVICOS DE INFORMATICA";"000225277";"385,27";"0,00";"385,27"
"EPTC";"03/01/2014";"CNPJ";"3780326000177";"MULTIFASE COML. TECNICA LTDA";"O.C:00017281";"MANUTENCAO E CONSERVACAO";"000007475";"540,00";"0,00";"540,00"
"EPTC";"03/01/2014";"CNPJ";"73471963000651";"SENAT-SERVICO NACIONAL DE APREND.TRANSP.";"O.C:00017301";"CURSOS/TREINAMENTOS";"000072654";"16.125,00";"0,00";"16.125,00"
"EPTC";"03/01/2014";"CNPJ";"211131000118";"WORLD CENTER COM. IMP. E EXP. LTDA";"O.C:00017283";"MATERIAL DE SINALIZACAO VIARIA";"000004108";"3.960,00";"0,00";"3.960,00"
"EPTC";"03/01/2014";"CNPJ";"7250898000103";"ELITE MATERIAIS DE CONSTRUCAO LTDA";"O.C:00017275";"MANUTENCAO E CONSERVACAO";"000005062";"152,00";"0,00";"152,00"
"EPTC";"03/01/2014";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:000017/2011";"VALE ALIMENTACAO";"000304748";"610,64";"0,00";"610,64"
"EPTC";"03/01/2014";"CNPJ";"16868674000142";"DIPAR FERRAGENS EIRELI";"O.C:00017172";"OUTRAS DESPESAS";"000000456";"281,00";"0,00";"281,00"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001306";"413,31";"0,00";"413,31"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001307";"1.675,35";"0,00";"1.675,35"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001308";"730,00";"0,00";"730,00"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001309";"259,72";"0,00";"259,72"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001310";"769,38";"0,00";"769,38"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001311";"112,41";"0,00";"112,41"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001312";"2.478,79";"0,00";"2.478,79"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001313";"114,30";"0,00";"114,30"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001314";"495,06";"0,00";"495,06"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001315";"2.035,74";"0,00";"2.035,74"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001316";"112,41";"0,00";"112,41"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001317";"107,90";"0,00";"107,90"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001318";"114,30";"0,00";"114,30"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001319";"114,30";"0,00";"114,30"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001320";"545,47";"0,00";"545,47"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001321";"114,30";"0,00";"114,30"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001322";"271,68";"0,00";"271,68"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001323";"102,81";"0,00";"102,81"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001324";"216,61";"0,00";"216,61"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001325";"271,68";"0,00";"271,68"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001326";"45,92";"0,00";"45,92"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001327";"1.712,22";"0,00";"1.712,22"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001328";"650,92";"0,00";"650,92"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001329";"483,00";"0,00";"483,00"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001330";"964,86";"0,00";"964,86"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001331";"112,41";"0,00";"112,41"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001332";"628,95";"0,00";"628,95"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001333";"567,50";"0,00";"567,50"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001334";"117,50";"0,00";"117,50"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001335";"227,68";"0,00";"227,68"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000001336";"1.554,11";"0,00";"1.554,11"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004436";"78,58";"3,92";"74,66"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004437";"950,15";"47,50";"902,65"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004438";"19,35";"0,96";"18,39"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004439";"198,58";"9,92";"188,66"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004440";"10,06";"0,50";"9,56"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004441";"708,31";"35,41";"672,90"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004442";"6,19";"0,30";"5,89"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004443";"12,38";"0,61";"11,77"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004444";"277,56";"13,87";"263,69"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004445";"6,19";"0,30";"5,89"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004446";"6,19";"0,30";"5,89"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004447";"6,19";"0,30";"5,89"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004448";"6,19";"0,30";"5,89"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004449";"19,35";"0,96";"18,39"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004450";"6,19";"0,30";"5,89"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004451";"9,29";"0,46";"8,83"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004452";"6,19";"0,30";"5,89"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004453";"10,84";"0,54";"10,30"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004454";"9,29";"0,46";"8,83"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004455";"469,24";"23,46";"445,78"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004456";"16,25";"0,81";"15,44"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004457";"149,43";"7,47";"141,96"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004458";"162,80";"8,14";"154,66"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004459";"6,19";"0,30";"5,89"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004460";"268,58";"13,42";"255,16"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004461";"630,00";"31,50";"598,50"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004466";"6,19";"0,30";"5,89"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004467";"9,29";"0,46";"8,83"
"EPTC";"03/01/2014";"CNPJ";"3703929000175";"SULMARCAS CENTRO AUTOMOTIVO LTDA";"CON:000022/2011";"MANUTENCAO DE VEICULOS";"000004468";"802,21";"40,11";"762,10"
"EPTC";"03/01/2014";"CNPJ";"5828337000105";"ATENTO SERVICE E LOGISTICA LTDA";"CON:000025/2011";"OUTROS SERVICOS PRESTADOS PJ";"000030762";"9.829,23";"491,46";"9.337,77"
"EPTC";"03/01/2014";"CNPJ";"5828337000105";"ATENTO SERVICE E LOGISTICA LTDA";"CON:000008/2013";"OUTROS SERVICOS PRESTADOS PJ";"000030763";"2.673,00";"133,65";"2.539,35"
"EPTC";"03/01/2014";"CNPJ";"8829940000108";"GABRIELA TORRES RAUBER";"O.C:00017276";"MATERIAL DE LIMPEZA";"000003136";"29,90";"0,00";"29,90"
"EPTC";"06/01/2014";"CNPJ";"92828219000100";"NELSON MALTZ ENGENHARIA E CONSTRUCOES";"CON:000026/2006";"ALUGUEIS";"005012014";"33.088,98";"0,00";"33.088,98"
"EPTC";"06/01/2014";"CNPJ";"86781069000115";"ZENITE INFORMACAO E CONSULTORIA S.A";"O.C:00017285";"OUTROS SERVICOS PRESTADOS PJ";"000009199";"5.890,00";"362,24";"5.527,76"
"EPTC";"06/01/2014";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:000017/2011";"VALE ALIMENTACAO";"000325948";"2.043,30";"0,00";"2.043,30"
"EPTC";"06/01/2014";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:000017/2011";"VALE ALIMENTACAO";"000325951";"764,40";"0,00";"764,40"
"EPTC";"06/01/2014";"CNPJ";"4835184000160";"AMANDA COM.DE PAPEIS E EMBALAGENS LTDA";"O.C:00017282";"MATERIAL DE LIMPEZA";"000008223";"103,20";"0,00";"103,20"
"EPTC";"06/01/2014";"CNPJ";"10882879000104";"MEMPHIS ENSINO LIVRE DE IDIOMAS LTDA";"CON:000024/2012";"CURSOS/TREINAMENTOS";"000005769";"29.510,22";"1.475,51";"28.034,71"
"EPTC";"06/01/2014";"CNPJ";"89846356000154";"RADIO TAXI GAUCHA";"CON:000020/2013";"CORREIOS, CONDUCAO, MALOTE";"000066597";"4.404,25";"0,00";"4.404,25"
"EPTC";"06/01/2014";"CNPJ";"88664000154";"DZL DISTRIBUIDORA ZANATA LTDA.";"O.C:00017273";"MATERIAL DE LIMPEZA";"000014462";"11.714,20";"0,00";"11.714,20"
"EPTC";"06/01/2014";"CNPJ";"92691336000166";"CREDITO REAL IMOVEIS E CONDOMINIOS";"CON:000029/2006";"ALUGUEIS";"005012014";"6.671,61";"0,00";"6.671,61"
"EPTC";"06/01/2014";"CNPJ";"4281402000162";"VIGILANCIA ASGARRAS S/C LTDA";"CON:000002/2011";"SERVICO DE VIGILANCIA";"000009758";"345.569,99";"71.551,45";"274.018,54"
"EPTC";"06/01/2014";"CNPJ";"73317513000102";"VIP ELEVADORES LTDA";"CON:000012/2010";"MANUTENCAO DE EQUIPAMENTOS";"000015902";"18.106,64";"2.018,87";"16.087,77"
"EPTC";"06/01/2014";"CNPJ";"73317513000102";"VIP ELEVADORES LTDA";"CON:000012/2010";"MANUTENCAO DE EQUIPAMENTOS";"000015903";"2.888,58";"322,05";"2.566,53"
"EPTC";"06/01/2014";"CNPJ";"73317513000102";"VIP ELEVADORES LTDA";"CON:000012/2010";"MANUTENCAO DE EQUIPAMENTOS";"000015904";"1.565,40";"174,54";"1.390,86"
"EPTC";"06/01/2014";"CNPJ";"73317513000102";"VIP ELEVADORES LTDA";"CON:000012/2010";"MANUTENCAO DE EQUIPAMENTOS";"000015905";"3.215,59";"358,52";"2.857,07"
"EPTC";"06/01/2014";"CNPJ";"73317513000102";"VIP ELEVADORES LTDA";"CON:000012/2010";"MANUTENCAO DE EQUIPAMENTOS";"000015906";"210,00";"10,50";"199,50"
"EPTC";"06/01/2014";"CNPJ";"8471046000109";"DESKART SUL DISTR. DE MAT. DE LIMP. LTDA";"O.C:00017272";"MATERIAL DE LIMPEZA";"000007916";"4.729,00";"0,00";"4.729,00"
"EPTC";"06/01/2014";"CNPJ";"8804177000152";"SINALCOR PROD.P/SINALIZACAO E SEG. LTDA";"O.C:00017264";"MATERIAL DE SINALIZACAO VIARIA";"000000277";"4.139,90";"0,00";"4.139,90"
"EPTC";"06/01/2014";"CNPJ";"88001086000118";"ADMINISTRACAO DE IMOVEIS CERTA LTDA";"CON:000005/2011";"ALUGUEIS";"005012014";"5.462,70";"0,00";"5.462,70"
"EPTC";"06/01/2014";"CNPJ";"35820448006339";"WHITE MARTINS GASES INDUSTRIAIS LTDA";"O.C:00017287";"OUTRAS DESPESAS";"000041631";"198,00";"0,00";"198,00"
"EPTC";"06/01/2014";"CNPJ";"88094016000151";"MACOL CONSTRUTORA LTDA.";"CON:000011/2011";"ALUGUEIS";"005012014";"11.814,44";"0,00";"11.814,44"
"EPTC";"06/01/2014";"CNPJ";"6113322000123";"ABIX TECNOLOGIA LTDA";"CON:000016/2011";"LOCACAO DE EQUIPAMENTOS";"000001032";"10.863,73";"0,00";"10.863,73"
"EPTC";"06/01/2014";"CNPJ";"92568856000186";"GUSTAVO Z. GRAPIGLIA-ADM E PART LTDA";"CON:000018/2011";"ALUGUEIS";"005042014";"26.625,00";"0,00";"26.625,00"
"EPTC";"06/01/2014";"CNPJ";"92922137000111";"GARAGEM SANTA TEREZINHA";"CON:000001/2012";"ALUGUEIS";"005012014";"9.525,60";"0,00";"9.525,60"
"EPTC";"06/01/2014";"CNPJ";"9058713000180";"FRANCILEI LUIS RAIMONDI";"O.C:00017274";"MATERIAL DE LIMPEZA";"000006357";"425,50";"0,00";"425,50"
"EPTC";"06/01/2014";"CNPJ";"12202593000158";"PETTYPOA IND.E COM. DE ART. DO VESTUARIO";"O.C:00017219";"UNIFORMES";"000000260";"7.245,00";"0,00";"7.245,00"
"EPTC";"06/01/2014";"CNPJ";"1844768000104";"AMBIENTUUS TECNOLOGIA AMBIENTAL LTDA";"CON:000012/2011";"OUTROS SERVICOS PRESTADOS PJ";"000142666";"50,37";"0,00";"50,37"
"EPTC";"07/01/2014";"CNPJ";"55386445000143";"SINALTA PROPISTA SIN.SEG.E COM.VISUAL LT";"CON:000005/2013";"OBRAS E SINALIZACAO";"000005962";"200.289,87";"15.021,73";"185.268,14"
"EPTC";"07/01/2014";"CNPJ";"15338041000160";"TRANSJULIO TRANSPORTES E TURISMO LTDA-ME";"CON:000023/2012";"LOCACAO DE VEICULOS";"000000032";"2.720,00";"54,40";"2.665,60"
"EPTC";"08/01/2014";"CNPJ";"2447204000109";"JUNIOR COELHO TRANSPORTES LTDA-ME";"CON:000018/2009";"LOCACAO DE VEICULOS";"000000235";"10.154,40";"203,09";"9.951,31"
"EPTC";"08/01/2014";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:000017/2011";"VALE ALIMENTACAO";"000348762";"10.642,31";"0,00";"10.642,31"
"EPTC";"08/01/2014";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:000017/2011";"VALE ALIMENTACAO";"000348766";"197.905,27";"0,00";"197.905,27"
"EPTC";"08/01/2014";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:000017/2011";"VALE ALIMENTACAO";"000348963";"300.433,90";"0,00";"300.433,90"
"EPTC";"08/01/2014";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:000017/2011";"VALE ALIMENTACAO";"000348966";"16.487,23";"0,00";"16.487,23"
"EPTC";"08/01/2014";"CNPJ";"69034668000156";"SODEXO PASS DO BRASIL SERV. E COM. S.A.";"CON:000017/2011";"VALE ALIMENTACAO";"000350150";"1.221,28";"0,00";"1.221,28"
"EPTC";"08/01/2014";"CNPJ";"4567417000191";"LMV TRANSPORTES LTDA.";"CON:000022/2012";"LOCACAO DE VEICULOS";"000001587";"15.000,00";"639,00";"14.361,00"
"EPTC";"08/01/2014";"CNPJ";"94091782000165";"AMELFIS COM. E SINAL. DE PLACAS LTDA.";"O.C:00017255";"MATERIAL DE SINALIZACAO VIARIA";"000001121";"24.400,00";"0,00";"24.400,00"
"EPTC";"08/01/2014";"CNPJ";"3696188000142";"DAROS SUPRIMENTOS P/ INFORM.E ESCR. LTDA";"O.C:00017271";"MATERIAL DE EXPEDIENTE";"000003296";"39,88";"0,00";"39,88"
"EPTC";"08/01/2014";"CNPJ";"2217890000113";"SILVEIRA E FRAGA LTDA.";"CON:000021/2010";"LOCACAO DE VEICULOS";"000001022";"5.937,24";"229,77";"5.707,47"
"EPTC";"08/01/2014";"CNPJ";"11388781000150";"METALETO DIST. PROD. SIDERG. LTDA";"O.C:00017257";"MATERIAL DE SINALIZACAO VIARIA";"000001199";"18.256,00";"0,00";"18.256,00"
"EPTC";"08/01/2014";"CNPJ";"13672891000174";"PRETA TRANSPORTES LTDA - ME";"CON:000021/2012";"LOCACAO DE VEICULOS";"000000152";"4.766,02";"166,81";"4.599,21"
"EPTC";"09/01/2014";"CNPJ";"94091782000165";"AMELFIS COM. E SINAL. DE PLACAS LTDA.";"O.C:00017255";"MATERIAL DE SINALIZACAO VIARIA";"000001127";"18.965,00";"0,00";"18.965,00"
"EPTC";"09/01/2014";"CNPJ";"93139665000161";"TRANSPORTES REDIVO LTDA";"CON:000024/2008";"LOCACAO DE VEICULOS";"000000872";"9.415,87";"398,29";"9.017,58"
"EPTC";"09/01/2014";"CNPJ";"91955146000146";"LISAMAR COMERCIO E SERVICOS LTDA";"CON:000021/2011";"MANUTENCAO DE VEICULOS";"000001778";"17,38";"0,86";"16,52"
"EPTC";"09/01/2014";"CNPJ";"91955146000146";"LISAMAR COMERCIO E SERVICOS LTDA";"CON:000021/2011";"MANUTENCAO DE VEICULOS";"000001779";"15,21";"0,76";"14,45"
